pub,score,lat,lon
The Ventoux,7.5,55.943658,-3.202945
Cambridge Bar,6.6,55.952736,-3.205949
Oxford Bar,6.2,55.952969,-3.20465
Bar Royal,7.5,55.953839,-3.190421
The Windsor,7.1,55.959941,-3.182222
Joseph Pearce,5.6,55.959023,-3.183072
Blue Blazer,6.7,55.945942,-3.203211
The Bailie,7.9,55.9575,-3.207169
Saint Bernards,5.2,55.958947,-3.21016
Kay's,6.25,55.955688,-3.205016
Dagda Bar,6.75,55.942152,-3.183956
Captains Bar,6.9,55.947064,-3.186514
Royal Oak,8.4,55.948056,-3.186111
Old Bell Inn,6.8,55.934967,-3.179036
Jolly Judge,7,55.949519,-3.193902
Guildford Arms,8.1,55.953683,-3.190122
The Raeburn,6.1,55.9596278,-3.2147528
The Stag,5.3,57.0512229,-2.5044396
Cloisters Bar,6.4,55.9432607,-3.2019507
Teuchters Landing,8.5,55.9774544,-3.1713383
Central Bar,6.3,55.970252,-3.1717447
Star Bar,7.7,55.9573589,-3.1957231
Whistle Binkies,6.1,55.9499513,-3.187218
Gilded Saloon,7.5,55.9461822,-3.1891728
Greenmantle,6,55.943922,-3.1836772
Penny Black,6.3,55.9536698,-3.1904985
Southsider,8,55.9452128,-3.183743
Beehive Inn,7.9,55.9474899,-3.1970199
Biddy Mulligans,7,55.9479897,-3.1949229
Teviot,6.8,55.9448034,-3.1888282
St Vincent,7.1,55.9579693,-3.2035509
Keller,8,55.9572982,-3.1876394
Hive,8.4,55.949603,-3.186963
AM Politician,9.5,57.0823,-7.3083
Borrodale Hotel,,57.1651,-7.3722
